"sampleName","fileName","condition"
"2820","Sample_2820.count","case"
"2822","Sample_2822.count","case"
"2879","Sample_2879.count","case"
"2885","Sample_2885.count","case"
"2886","Sample_2886.count","case"
"2899","Sample_2899.count","case"
"3003","Sample_3003.count","case"
"3007","Sample_3007.count","case"
"3021","Sample_3021.count","case"
"3026","Sample_3026.count","case"
"3096","Sample_3096.count","case"
"3194","Sample_3194.count","case"
"3213","Sample_3213.count","case"
"3221","Sample_3221.count","case"
"3238","Sample_3238.count","case"
"3252","Sample_3252.count","case"
"3295","Sample_3295.count","case"
"3296","Sample_3296.count","case"
"3331","Sample_3331.count","case"
"3332","Sample_3332.count","case"
"3410","Sample_3410.count","case"
"3437","Sample_3437.count","case"
"3440","Sample_3440.count","case"
"3443","Sample_3443.count","case"
"3450","Sample_3450.count","case"
"3456","Sample_3456B.count","case"
"3591","Sample_3591B.count","case"
"DRV14","Sample_DRV14.count","control"
"DRV16","Sample_DRV16.count","control"
"DRV26","Sample_DRV26.count","control"
"DRV27","Sample_DRV27.count","control"
"DRV28","Sample_DRV28.count","control"
"DRV32","Sample_DRV32.count","control"
"DRV35","Sample_DRV35.count","control"
"DRV38","Sample_DRV38.count","control"
"DRV41","Sample_DRV41.count","control"
"DRV42","Sample_DRV42.count","control"
"DRV5","Sample_DRV5.count","control"
